Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,val_in_wei
0x78e2d564be214f845cac7b834e1db7eaef85fcad9bca157e7f8646191a14caa8,4968014,1703689092,27-12-23 14:58,0xbd049e8a40edd5f5bd20e76e52ac6abffaa3e610,0x83a68859b02d1aff0d864d65a1bf2957143f1185,,1.5E-16,0,0,0.025920507023432958,0,,,,Contribute,150
0x959612d1a02b1a59c94c04a516b0484eaf1caaaa68c613c8e9d681575b7c038d,4968447,1703695224,27-12-23 16:40,0x515a017af8b436acf9d6e27cd7aa251a0784447f,0x83a68859b02d1aff0d864d65a1bf2957143f1185,,1.6E-16,0,0,0.023302667622401352,0,,,,Contribute,160
