,Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,Value_IN(Wei)
0,0xd4e64c777fe12772762cc3df411d8eaf5443c0b234c4ae7699a316837c551e68,4912884,1702930944,2023-12-18 20:22:24,0xd82a7c012b5dfb3a8cfb4d6d443210337d2ab666,0x71e4825412700b83552ef900552dc3e94b781608,,4e-17,0,0,0.002864959539034595,0,,,,Contribute,40.0
1,0xd9e7e48f9aa52650114b7155a933dfef1df2b46b90f92cde65138239d8723769,4912905,1702931196,2023-12-18 20:26:36,0xc0d33952d956728237e44c03a6b3189d541c5897,0x71e4825412700b83552ef900552dc3e94b781608,,5e-17,0,0,0.002850387671200444,0,,,,Contribute,50.0
2,0x5886c038fcd5b16eff4c665f0da6835b09ebcf4792fa8988dbbc96280b3ecc07,4912912,1702931292,2023-12-18 20:28:12,0xd82a7c012b5dfb3a8cfb4d6d443210337d2ab666,0x71e4825412700b83552ef900552dc3e94b781608,,6e-17,0,0,0.0023148550957308,0,,,,Contribute,60.0
3,0x8c4e4d970b952c3edd0ac18d59131e3194a000ec748cdce51ff860a117a31a48,4912947,1702931820,2023-12-18 20:37:00,0x819813e0af728ef9238303328b98b739890ac549,0x71e4825412700b83552ef900552dc3e94b781608,,1e-16,0,0,0.003584139220841724,0,,,,Contribute,100.0
