,Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,Value_IN(Wei)
0,0xd618f8082b5c55b70204c14f06f843b5b5209c39279be5b2fad6be822b0682ab,4913075,1702933500,2023-12-18 21:05:00,0xf5c596b251f3d6a486af1b77f8c88b1253b968b2,0xa7c23d97305bedca21bc036580eb93109f674fa3,,6.9e-17,0,0,0.001663088510649614,0,,,,Contribute,69.0
1,0xf6913bec012179144a051d7111ed106d8e53b733ecab29c175f2df9f25399441,4913081,1702933572,2023-12-18 21:06:12,0xf5c596b251f3d6a486af1b77f8c88b1253b968b2,0xa7c23d97305bedca21bc036580eb93109f674fa3,,6.9e-17,0,0,0.000148371845744624,0,,Error(0),execution reverted,Contribute,69.0
