,Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,Value_IN(Wei)
0,0x48f7f8f268346148b936d12703ff1b31f903d4727df950c6c28c7974502453e5,4912854,1702930560,2023-12-18 20:16:00,0xc0d33952d956728237e44c03a6b3189d541c5897,0x43bb0f34d4a6c57a5e68351775c30fc7e53a6160,,4.5e-17,0,0,0.003142694640252455,0,,,,Contribute,45.0
1,0x67837710412a58822e334e226087fe6a65e2c28bb378e4835eaf887d1ed76c55,4912911,1702931280,2023-12-18 20:28:00,0x819813e0af728ef9238303328b98b739890ac549,0x43bb0f34d4a6c57a5e68351775c30fc7e53a6160,,6e-17,0,0,0.003033699625565654,0,,,,Contribute,60.0
2,0x4251efaba0865d38deb532871e3171be9f97c45c78e9d75fed8837682e1abc05,4913064,1702933344,2023-12-18 21:02:24,0xf5c596b251f3d6a486af1b77f8c88b1253b968b2,0x43bb0f34d4a6c57a5e68351775c30fc7e53a6160,,6.1e-17,0,0,0.00225310477785407,0,,,,Contribute,61.0
,,,,,,,,,,,,,
